 q0 aaa
X q_a aa
Xa q_a a
Xaa q_a ⊔
Xa q_ret_a a
X q_check aX
 q_check XaX
X q0 aX
XX q_a X
XXX q_a ⊔
XX q_ret_a X
X q_ret_a XX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
 q_ret_a XXX
# [Aviso] Se alcanzó el límite de pasos (200). Posible ciclo infinito.
